Timestamp,rows,mae,bias,mean_actual,mean_prediction
0,18984,0.0018755526322236484,-0.0016263723927481722,0.00013827433628318584,0.0017646467290313578
1,18984,0.0017965184252332286,-0.0014904516516478998,0.00016461230509903077,0.0016550639567469306
2,18984,0.0017374647974509939,-0.0015058442515242917,0.00012510535187526339,0.0016309496033995552
3,18984,0.0017616177633652996,-0.0015332258760586835,0.00012510535187526339,0.001658331227933947
4,18984,0.001774980370159282,-0.0014983262350727346,0.0001514433206911083,0.0016497695557638429
5,18984,0.001705974160516734,-0.0014877327386395513,0.00012510535187526339,0.0016128380905148147
6,18984,0.01807336695555083,-0.009684788940792407,0.009958530045037927,0.019643318985830334
7,9188,0.4642884167212722,-0.3350324818069981,0.8349065186928603,1.1699390004998584
8,17259,0.7380536781822242,-0.39614560911889,2.456139731444464,2.8522853405633537
9,18060,1.1451808699774668,-0.4828834198764183,5.568673540455427,6.051556960331845
10,17990,1.5468416258912066,-0.668744975271146,8.634377279912451,9.303122255183597
11,17892,1.7761008138895324,-0.7728658012816054,10.857629828449866,11.630495629731472
12,17354,1.8015943319247,-0.4038129087593095,12.077829453944336,12.481642362703646
13,16298,2.017578629124561,-0.513365591400008,11.911322756243097,12.424688347643105
14,16873,2.0592620563965336,-0.5033702087450707,11.574349205276182,12.077719414021251
15,17968,2.094167860612032,-0.7618988498136517,10.864373360801146,11.626272210614797
16,17991,1.8216086030882985,-0.4254796406331242,9.113945536136123,9.539425176769248
17,17222,1.3732318533915135,-0.28834496677071875,6.838413212388224,7.126758179158943
18,14803,0.9997431603351318,-0.29389187520634896,4.284133706005539,4.578025581211889
19,11726,0.6093175298350025,-0.3144868412658579,1.6865665774774006,2.001053418743259
20,18984,0.07354571918086075,0.013098540991558745,0.11099828309365782,0.09789974210209908
21,18984,0.006513842732268127,-0.006244623636692832,0.00015802781289506955,0.006402651449587901
22,18858,0.006668039590468087,-0.006494761119874531,0.00010605578534309046,0.006600816905217622
23,18816,0.006372175832021745,-0.006171243860288225,0.00012622236394557824,0.006297466224233804
